date,^DJI
2013-09-23,15401.379883
2013-09-24,15334.589844
2013-09-25,15273.259766
2013-09-26,15328.299805
2013-09-27,15258.240234
2013-09-30,15129.669922
2013-10-01,15191.700195
2013-10-02,15133.139648
2013-10-03,14996.480469
2013-10-04,15072.580078
2013-10-07,14936.240234
2013-10-08,14776.530273
2013-10-09,14802.980469
2013-10-10,15126.070312
2013-10-11,15237.110352
2013-10-14,15301.259766
2013-10-15,15168.009766
2013-10-16,15373.830078
2013-10-17,15371.650391
2013-10-18,15399.650391
2013-10-21,15392.200195
2013-10-22,15467.660156
2013-10-23,15413.330078
2013-10-24,15509.209961
2013-10-25,15570.280273
2013-10-28,15568.929688
2013-10-29,15680.349609
2013-10-30,15618.759766
2013-10-31,15545.75
2013-11-01,15615.549805
2013-11-04,15639.120117
2013-11-05,15618.219727
2013-11-06,15746.879883
2013-11-07,15593.980469
2013-11-08,15761.780273
2013-11-11,15783.099609
2013-11-12,15750.669922
2013-11-13,15821.629883
2013-11-14,15876.219727
2013-11-15,15961.700195
2013-11-18,15976.019531
2013-11-19,15967.030273
2013-11-20,15900.820312
2013-11-21,16009.990234
2013-11-22,16064.769531
2013-11-25,16072.540039
2013-11-26,16072.799805
2013-11-27,16097.330078
2013-11-29,16086.410156
2013-12-02,16008.769531
2013-12-03,15914.620117
2013-12-04,15889.769531
2013-12-05,15821.509766
2013-12-06,16020.200195
2013-12-09,16025.530273
2013-12-10,15973.129883
2013-12-11,15843.530273
2013-12-12,15739.429688
2013-12-13,15755.360352
2013-12-16,15884.570312
2013-12-17,15875.259766
2013-12-18,16167.969727
2013-12-19,16179.080078
2013-12-20,16221.139648
2013-12-23,16294.610352
2013-12-24,16357.549805
2013-12-26,16479.880859
2013-12-27,16478.410156
2013-12-30,16504.289062
2013-12-31,16576.660156
2014-01-02,16441.349609
2014-01-03,16469.990234
2014-01-06,16425.099609
2014-01-07,16530.939453
2014-01-08,16462.740234
2014-01-09,16444.759766
2014-01-10,16437.050781
2014-01-13,16257.94043
2014-01-14,16373.860352
2014-01-15,16481.939453
2014-01-16,16417.009766
2014-01-17,16458.560547
2014-01-21,16414.439453
2014-01-22,16373.339844
2014-01-23,16197.349609
2014-01-24,15879.110352
2014-01-27,15837.879883
2014-01-28,15928.55957
2014-01-29,15738.790039
2014-01-30,15848.610352
2014-01-31,15698.849609
2014-02-03,15372.799805
2014-02-04,15445.240234
2014-02-05,15440.230469
2014-02-06,15628.530273
2014-02-07,15794.080078
2014-02-10,15801.790039
2014-02-11,15994.769531
2014-02-12,15963.94043
2014-02-13,16027.589844
2014-02-14,16154.389648
2014-02-18,16130.400391
2014-02-19,16040.55957
2014-02-20,16133.230469
2014-02-21,16103.299805
2014-02-24,16207.139648
2014-02-25,16179.660156
2014-02-26,16198.410156
2014-02-27,16272.650391
2014-02-28,16321.709961
2014-03-03,16168.030273
2014-03-04,16395.880859
2014-03-05,16360.179688
2014-03-06,16421.890625
2014-03-07,16452.720703
2014-03-10,16418.679688
2014-03-11,16351.25
2014-03-12,16340.080078
2014-03-13,16108.889648
2014-03-14,16065.669922
2014-03-17,16247.219727
2014-03-18,16336.19043
2014-03-19,16222.169922
2014-03-20,16331.049805
2014-03-21,16302.769531
2014-03-24,16276.69043
2014-03-25,16367.879883
2014-03-26,16268.990234
2014-03-27,16264.230469
2014-03-28,16323.05957
2014-03-31,16457.660156
2014-04-01,16532.609375
2014-04-02,16573.0
2014-04-03,16572.550781
2014-04-04,16412.710938
2014-04-07,16245.870117
2014-04-08,16256.139648
2014-04-09,16437.179688
2014-04-10,16170.219727
2014-04-11,16026.75
2014-04-14,16173.240234
2014-04-15,16262.55957
2014-04-16,16424.849609
2014-04-17,16408.539062
2014-04-21,16449.25
2014-04-22,16514.369141
2014-04-23,16501.650391
2014-04-24,16501.650391
2014-04-25,16361.459961
2014-04-28,16448.740234
2014-04-29,16535.369141
2014-04-30,16580.839844
2014-05-01,16558.869141
2014-05-02,16512.890625
2014-05-05,16530.550781
2014-05-06,16401.019531
2014-05-07,16518.539062
2014-05-08,16550.970703
2014-05-09,16583.339844
2014-05-12,16695.470703
2014-05-13,16715.439453
2014-05-14,16613.970703
2014-05-15,16446.810547
2014-05-16,16491.310547
2014-05-19,16511.859375
2014-05-20,16374.30957
2014-05-21,16533.060547
2014-05-22,16543.080078
2014-05-23,16606.269531
2014-05-27,16675.5
2014-05-28,16633.179688
2014-05-29,16698.740234
2014-05-30,16717.169922
2014-06-02,16743.630859
2014-06-03,16722.339844
2014-06-04,16737.529297
2014-06-05,16836.109375
2014-06-06,16924.279297
2014-06-09,16943.099609
2014-06-10,16945.919922
2014-06-11,16843.880859
2014-06-12,16734.189453
2014-06-13,16775.740234
2014-06-16,16781.009766
2014-06-17,16808.490234
2014-06-18,16906.619141
2014-06-19,16921.460938
2014-06-20,16947.080078
2014-06-23,16937.259766
2014-06-24,16818.130859
2014-06-25,16867.509766
2014-06-26,16846.130859
2014-06-27,16851.839844
2014-06-30,16826.599609
2014-07-01,16956.070312
2014-07-02,16976.240234
2014-07-03,17068.259766
2014-07-07,17024.210938
2014-07-08,16906.619141
2014-07-09,16985.609375
2014-07-10,16915.070312
2014-07-11,16943.810547
2014-07-14,17055.419922
2014-07-15,17060.679688
2014-07-16,17138.199219
2014-07-17,16976.810547
2014-07-18,17100.179688
2014-07-21,17051.730469
2014-07-22,17113.539062
2014-07-23,17086.630859
2014-07-24,17083.800781
2014-07-25,16960.570312
2014-07-28,16982.589844
2014-07-29,16912.109375
2014-07-30,16880.359375
2014-07-31,16563.300781
2014-08-01,16493.369141
2014-08-04,16569.279297
2014-08-05,16429.470703
2014-08-06,16443.339844
2014-08-07,16368.269531
2014-08-08,16553.929688
2014-08-11,16569.980469
2014-08-12,16560.539062
2014-08-13,16651.800781
2014-08-14,16713.580078
2014-08-15,16662.910156
2014-08-18,16838.740234
2014-08-19,16919.589844
2014-08-20,16979.130859
2014-08-21,17039.490234
2014-08-22,17001.220703
2014-08-25,17076.869141
2014-08-26,17106.699219
2014-08-27,17122.009766
2014-08-28,17079.570312
2014-08-29,17098.449219
2014-09-02,17067.560547
2014-09-03,17078.279297
2014-09-04,17069.580078
2014-09-05,17137.359375
2014-09-08,17111.419922
2014-09-09,17013.869141
2014-09-10,17068.710938
2014-09-11,17049.0
2014-09-12,16987.509766
2014-09-15,17031.140625
2014-09-16,17131.970703
2014-09-17,17156.849609
2014-09-18,17265.990234
2014-09-19,17279.740234
2014-09-22,17172.679688
2014-09-23,17055.869141
2014-09-24,17210.060547
2014-09-25,16945.800781
2014-09-26,17113.150391
2014-09-29,17071.220703
2014-09-30,17042.900391
2014-10-01,16804.710938
2014-10-02,16801.050781
2014-10-03,17009.689453
2014-10-06,16991.910156
2014-10-07,16719.390625
2014-10-08,16994.220703
2014-10-09,16659.25
2014-10-10,16544.099609
2014-10-13,16321.070312
2014-10-14,16315.19043
2014-10-15,16141.740234
2014-10-16,16117.240234
2014-10-17,16380.410156
2014-10-20,16399.669922
2014-10-21,16614.810547
2014-10-22,16461.320312
2014-10-23,16677.900391
2014-10-24,16805.410156
2014-10-27,16817.939453
2014-10-28,17005.75
2014-10-29,16974.310547
2014-10-30,17195.419922
2014-10-31,17390.519531
2014-11-03,17366.240234
2014-11-04,17383.839844
2014-11-05,17484.529297
2014-11-06,17554.470703
2014-11-07,17573.929688
2014-11-10,17613.740234
2014-11-11,17614.900391
2014-11-12,17612.199219
2014-11-13,17652.789062
2014-11-14,17634.740234
2014-11-17,17647.75
2014-11-18,17687.820312
2014-11-19,17685.730469
2014-11-20,17719.0
2014-11-21,17810.060547
2014-11-24,17817.900391
2014-11-25,17814.939453
2014-11-26,17827.75
2014-11-28,17828.240234
2014-12-01,17776.800781
2014-12-02,17879.550781
2014-12-03,17912.619141
2014-12-04,17900.099609
2014-12-05,17958.789062
2014-12-08,17852.480469
2014-12-09,17801.199219
2014-12-10,17533.150391
2014-12-11,17596.339844
2014-12-12,17280.830078
2014-12-15,17180.839844
2014-12-16,17068.869141
2014-12-17,17356.869141
2014-12-18,17778.150391
2014-12-19,17804.800781
2014-12-22,17959.439453
2014-12-23,18024.169922
2014-12-24,18030.210938
2014-12-26,18053.710938
2014-12-29,18038.230469
2014-12-30,17983.070312
2014-12-31,17823.070312
2015-01-02,17832.990234
2015-01-05,17501.650391
2015-01-06,17371.640625
2015-01-07,17584.519531
2015-01-08,17907.869141
2015-01-09,17737.369141
2015-01-12,17640.839844
2015-01-13,17613.679688
2015-01-14,17427.089844
2015-01-15,17320.710938
2015-01-16,17511.570312
2015-01-20,17515.230469
2015-01-21,17554.279297
2015-01-22,17813.980469
2015-01-23,17672.599609
2015-01-26,17678.699219
2015-01-27,17387.210938
2015-01-28,17191.369141
2015-01-29,17416.849609
2015-01-30,17164.949219
2015-02-02,17361.039062
2015-02-03,17666.400391
2015-02-04,17673.019531
2015-02-05,17884.880859
2015-02-06,17824.289062
2015-02-09,17729.210938
2015-02-10,17868.759766
2015-02-11,17862.140625
2015-02-12,17972.380859
2015-02-13,18019.349609
2015-02-17,18047.580078
2015-02-18,18029.849609
2015-02-19,17985.769531
2015-02-20,18140.439453
2015-02-23,18116.839844
2015-02-24,18209.189453
2015-02-25,18224.570312
2015-02-26,18214.419922
2015-02-27,18132.699219
2015-03-02,18288.630859
2015-03-03,18203.369141
2015-03-04,18096.900391
2015-03-05,18135.720703
2015-03-06,17856.779297
2015-03-09,17995.720703
2015-03-10,17662.939453
2015-03-11,17635.390625
2015-03-12,17895.220703
2015-03-13,17749.310547
2015-03-16,17977.419922
2015-03-17,17849.080078
2015-03-18,18076.189453
